D. Mitchell CLE - PG,SG 7:00 pm @SAC,38.6,80,0.483,18.6,12.6,34,0.37,108.4,19.8,20.3,6.8,1.5,1.82,10.4
J. Williams OKC - SG,SF,PF,27.6,54.6,0.506,12,5.7,15.3,0.373,73,21.5,15.8,5.7,1.4,1.877,12.2
J. Tatum BOS - SF,PF 4:30 pm vs NYK,44.3,93.4,0.474,26.7,14.7,40.3,0.364,129.9,45.4,20.4,4.8,2.9,1.46,10.8
J. Jackson Jr. MEM - PF,C,22.7,46.1,0.494,12.8,5.2,15.3,0.341,63.5,21.8,4.7,2.7,6.9,0.879,11.2
M. Porter Jr. DEN - SF,24.6,51.3,0.48,5.6,11,27.8,0.396,65.9,25.6,5.5,2.3,2.5,1.213,8.3
S. Dinwiddie BKN - PG,SG,11.4,26.7,0.426,6.5,4.6,13.3,0.346,33.9,7.9,13,1.4,0.4,3.276,4.7
R. Hachimura LAL - SF,PF,17,35.3,0.482,5.2,3.9,11.1,0.35,43.1,18.5,4.9,2.2,1.3,1.492,5.5
C. Cunningham DET - PG,SG,29.7,69.2,0.429,14.2,7.2,22.6,0.319,80.7,19.9,24.4,3.4,1.9,1.498,12.8
J. McDaniels MIN - SF,PF,17.5,36.1,0.485,4,5.7,15.9,0.362,44.9,15.9,6.1,3.5,3,1.241,15.5
Player Note I. Zubac LAC - C,13.6,20.9,0.649,6,0.1,0.2,0.295,33.2,29.2,2.9,1.4,4.9,0.633,9.6
B. Hield IND - SG,SF,9,20.5,0.439,1.7,5.4,13.5,0.4,25.1,7.8,4.6,1.6,0.7,1.55,3.2
B. Brown IND - PG,SG,SF,9.8,20.7,0.475,3.2,2.8,7.7,0.365,25.7,10.1,6.7,2.4,1.3,2.156,5.2
T. Horton-Tucker UTA - PG,SG,SF,11.5,27.3,0.42,5,2.9,9,0.316,30.7,10.3,12,2.1,1.2,1.889,5.6
J. Smith Jr. HOU - PF,C,15.4,35.1,0.44,5.2,5.2,15.5,0.334,41.3,22.5,4.8,2.1,2.3,1.214,9.4
