Nikola Jokic,61.2,59
Joel Embiid GTD,60.4,55
Jonas Valanciunas,31.5,25
Jusuf Nurkic,33.4,23
Jakob Poeltl,28.8,22
Zach Collins,28.5,22
Mitchell Robinson,27.6,20
Daniel Gafford,27.3,19
Goga Bitadze,23.4,19
Dereck Lively II,23.1,15
Bismack Biyombo,24.9,14
Paul Reed,14.5,13
Precious Achiuwa,19.7,11
DeAndre Jordan,17.7,11
Mike Muscala,9.0,10
Anthony Gill,5.8,10
John Butler Jr.,6.8,10
Moritz Wagner,20.7,10
Isaiah Hartenstein,16.2,10
Thaddeus Young,3.7,10
Kenneth Lofton Jr.,6.3,10
Markieff Morris,2.4,10
Dwight Powell,12.4,10
Richaun Holmes,8.6,10
Mo Bamba,7.4,10
Luke Kornet,13.0,10
Nathan Knight,6.2,10
Neemias Queta,12.2,10
Charles Bassey,11.8,10
Sandro Mamukelashvili,8.0,10
Charles Bediako,0,10
Cody Zeller,7.8,10
Jeremiah Robinson-Earl,10.3,10
E.J. Liddell,2.8,10
Zeke Nnaji,8.6,10
Jay Huff,2.0,10
Chimezie Metu,5.8,10
Drew Eubanks,17.6,10
Udoka Azubuike,3.4,10
