Jayson Tatum,47.6,46
Kevin Durant,46.6,45
Jaren Jackson Jr.,40.4,38
Victor Wembanyama,38.6,36
Kawhi Leonard,38.5,36
Kyle Kuzma,38.2,32
Zion Williamson GTD,37.7,37
Kristaps Porzingis,36.6,33
Tobias Harris,33.9,22
Karl-Anthony Towns,33.1,32
P.J. Washington Jr.,29.3,26
Jalen Williams,29.1,27
John Collins,28.3,22
Keegan Murray,28.2,19
Jabari Smith Jr.,26.7,22
Cameron Johnson,26.5,22
Dorian Finney-Smith,26.1,17
Isaiah Stewart,23.8,18
Kyle Anderson,23.5,18
Santi Aldama,22.6,10
Grant Williams,22.4,15
Rui Hachimura,21.7,13
Trendon Watford,17.4,10
Cedi Osman,15.9,10
Nicolas Batum GTD,14.9,10
Robert Covington,14.4,10
Danilo Gallinari,13.8,10
JT Thor,12.0,10
Yuta Watanabe,12.0,10
Maxi Kleber GTD,11.8,10
P.J. Tucker,11.5,10
Jeff Green,11.2,10
Eugene Omoruyi,11.0,10
Sasha Vezenkov,10.9,10
Nassir Little,9.0,10
Ousmane Dieng,8.7,10
Oshae Brissett,8.5,10
Simone Fontecchio,7.9,10
Davis Bertans,7.4,10
Marcus Morris Sr.,7.2,10
Jake LaRavia GTD,6.1,10
Luka Samanic,5.6,10
Kobe Brown,5.5,10
Jaxson Hayes GTD,4.8,10
Greg Brown III,4.8,10
Leaky Black,4.5,10
Jermaine Samuels Jr.,4.2,10
Jared Rhoden,4.1,10
E.J. Liddell,2.8,10
Dominick Barlow,2.4,10
Bol Bol,2.1,10
Patrick Baldwin Jr.,0.8,10
Noah Clowney,0,10
GG Jackson II,0,10
