LaMelo Ball,43.3,43
Devin Booker,48.6,43
Damian Lillard,38.6,42
Tyrese Maxey,47.6,40
Trae Young,43.8,40
De'Aaron Fox,47.7,38
Fred VanVleet,34.2,35
Jalen Brunson,34.1,31
Darius Garland GTD,31.5,28
Russell Westbrook,34.3,28
Jrue Holiday,33.7,27
D'Angelo Russell,34.2,23
Jordan Clarkson,28.7,23
Dennis Schroder,31.2,20
Skylar Mays,17.8,20
Killian Hayes,26.3,19
Tre Jones GTD,24.0,18
Jeremy Sochan,24.8,18
Tyus Jones,22.5,17
Immanuel Quickley,25.0,16
Reggie Jackson,20.8,14
Cole Anthony,23.3,13
Coby White,23.9,13
Keyonte George,18.1,13
Alex Caruso GTD,22.7,12
Ryan Arcidiacono,0.4,10
Miles McBride,3.2,10
Jared Butler,1.8,10
Ryan Rollins,11.7,10
Cameron Payne,11.9,10
Lindell Wigginton,-1.0,10
TyTy Washington Jr.,2.6,10
A.J. Green,5.2,10
Andre Jackson Jr.,5.4,10
Ish Smith,6.5,10
Theo Maledon,12.3,10
Payton Pritchard,13.9,10
Dalano Banton,7.2,10
JD Davison,4.5,10
Malachi Flynn,13.0,10
Markquis Nowell,10.4,10
Patrick Beverley,11.2,10
Javonte Smart,0,10
Terquavion Smith,0,10
Patty Mills,9.9,10
Jordan Ford,2.4,10
Davion Mitchell,13.5,10
Keon Ellis,10.6,10
Devonte' Graham,13.7,10
Blake Wesley,5.3,10
Marcus Sasser,18.9,10
Craig Porter Jr.,7.8,10
Collin Gillespie,7.8,10
Jalen Pickett,4.8,10
Kira Lewis Jr.,8.1,10
Anthony Black,12.3,10
Jamaree Bouyea,5.3,10
Eric Gordon,23.2,10
Saben Lee,5.7,10
Kris Dunn,9.8,10
Aaron Holiday,9.2,10
Joshua Primo,17.2,10
Bones Hyland,18.3,10
