Jimmy Butler,37.2,37
Scottie Barnes,45.5,37
Zach LaVine GTD,34.1,30
Ausar Thompson,34.2,28
Keldon Johnson,32.7,27
Michael Porter Jr.,31.0,25
Herbert Jones,30.6,23
Deni Avdija,27.2,21
Khris Middleton,23.9,21
RJ Barrett,30.1,20
Bruce Brown,23.7,18
Andrew Wiggins,19.3,18
Dyson Daniels,23.7,18
Josh Hart,21.4,17
Dillon Brooks,23.6,17
Bennedict Mathurin,22.4,16
Tari Eason,19.5,15
Alec Burks,22.6,14
Bilal Coulibaly GTD,19.6,14
Kevin Knox II,21.9,11
Harrison Barnes,19.7,11
Norman Powell GTD,19.5,11
Caleb Martin,13.7,10
Evan Fournier GTD,7.7,10
Charlie Brown Jr. GTD,0,10
Patrick Williams,16.6,10
Julian Phillips,0.7,10
Otto Porter Jr.,9.0,10
Jalen McDaniels,5.3,10
Ron Harper Jr.,1.5,10
Gradey Dick,7.5,10
Malcolm Cazalon,0,10
Jordan Nwora,14.0,10
Kendall Brown,5.1,10
Chris Duarte,10.3,10
Kessler Edwards,3.0,10
Troy Brown Jr.,6.2,10
Josh Minott,2.5,10
Leonard Miller,0.6,10
Pat Connaughton,15.0,10
Justin Holiday,4.2,10
Braxton Key,1.9,10
Julian Strawther,8.8,10
Reggie Bullock,4.1,10
Cam Whitmore,4.4,10
Doug McDermott,11.0,10
Julian Champagnie,11.8,10
Sidy Cissoko,-1,10
Gui Santos,4.1,10
Terance Mann,16.1,10
