New Player Note N. Jokic DEN - C 7:30 pm @LAC,41.1,68.6,0.6,21,4.2,12,0.353,107.5,54.6,38.5,5.1,3.1,2.55,11
"New Player Note A. Edwards MIN - SG,SF",28.1,61.4,0.457,14.1,8.3,22.7,0.364,78.5,17.9,14.5,4.7,1.9,1.604,6.7
"New Player Note K. Caldwell-Pope DEN - SG,SF 7:30 pm @LAC",14.8,32.9,0.449,6.2,6.8,16.8,0.407,42.6,10.6,9.8,5.6,1.6,1.886,8.2
"New Player Note K. Towns MIN - PF,C",24.7,49.4,0.501,13,6.3,16.8,0.377,68.7,28.3,12.1,2.7,2.7,1.381,11.4
"Player Note A. Reaves LAL - SG,SF 4:00 pm @PHI",18.7,39.2,0.476,14,6.6,17.4,0.381,58,16,17,3.1,1.1,2.171,6.6
Player Note G. Hayward CHA - SF,16.2,37.1,0.436,7.6,3.4,9.7,0.349,43.4,15.2,12,3.3,1.1,2.231,5.4
"New Player Note S. Bey ATL - SF,PF",13.8,30,0.459,5.9,5.6,15.1,0.371,39,16.3,4.9,2.7,0.6,1.547,3.8
Player Note C. Paul GSW - PG,11.4,26.5,0.43,5.3,3.4,9.8,0.35,31.6,11.2,21,4.2,0.5,4.573,5
"New Player Note V. Wembanyama SAS - PF,C",15.7,35.2,0.447,8.4,3,10.6,0.28,42.9,19.8,5.8,2.4,6.4,0.826,6.4
"Player Note K. Kuzma WAS - SF,PF 4:00 pm @DET",24,50.9,0.471,8,6.6,19.2,0.341,62.6,23.4,11.5,1.7,2.1,1.449,6.2
"Player Note T. Harris PHI - SF,PF 4:00 pm vs LAL",17,34.3,0.494,5.3,4.5,12.5,0.363,43.8,18.1,8.5,2.2,1.2,2.054,5.4
Player Note R. Westbrook LAC - PG 7:30 pm vs DEN,16,36.4,0.439,6,3.3,10.8,0.311,41.3,19.3,17.4,3.5,1,1.928,8
"New Player Note J. Holiday BOS - PG,SG GTD",11.2,24.1,0.465,3.5,3.4,9.3,0.363,29.3,11.1,11.3,1.8,1.1,2.309,3.2
"Player Note I. Stewart DET - PF,C 4:00 pm vs WAS",14.8,31.5,0.471,5.8,4.9,13,0.378,40.3,28.1,5,1.1,2,1.029,9.4
"New Player Note N. Batum PHI - SF,PF 4:00 pm vs LAL",6.8,15.8,0.431,1.4,4.5,11.9,0.381,19.6,12.3,5.3,1.9,1.5,2.435,4.9
