"New Player Note Jrue Holiday BOS - PG,SG",420,878,0.479,111,122,324,0.377,1074,408,429,72.2,53.8,2.8,137
"New Player Note Tyrese Maxey PHI - PG,SG",622,1302,0.478,379,231,564,0.41,1856,389,467,56,24.6,3.8,137
New Player Note Jalen Brunson NYK - PG,593,1294,0.458,334,146,371,0.393,1666,263,408,72.3,0.3,2.8,148
"New Player Note Jimmy Butler MIA - SF,PF GTD",490,994,0.493,495,48.7,127,0.382,1525,430,344,111,30.5,2.6,82.2
"Player Note Kristaps Porzingis BOS - PF,C",473,956,0.494,331,137,349,0.394,1414,568,131,54.9,111,1.1,232
"New Player Note Tobias Harris PHI - SF,PF",466,882,0.529,195,116,296,0.393,1246,459,225,59.7,42.5,1.8,151
New Player Note Nikola Jokic DEN - C GTD,753,1203,0.626,336,88.9,230,0.386,1932,894,678,77.2,51.2,2.5,171
"New Player Note Zion Williamson NOP - PF,C",699,1238,0.565,395,9,35.4,0.255,1804,539,321,70.6,35,1.7,156
"New Player Note Andrew Wiggins GSW - SF,PF",416,916,0.454,115,113,313,0.36,1061,290,119,50.8,44.1,1.2,148
"Player Note De'Anthony Melton PHI - PG,SG",242,625,0.388,60.6,138,363,0.38,683,290,304,103,40.6,2.4,158
"New Player Note Jalen Johnson ATL - SF,PF",374,701,0.534,93.9,58.4,201,0.29,901,565,187,88.7,71.7,2,210
"Player Note Gary Trent Jr. TOR - PG,SG",302,768,0.394,105,147,403,0.365,858,145,88.6,75,11.3,1.5,99.8
"New Player Note Harrison Barnes SAC - SF,PF",303,634,0.479,258,117,300,0.392,983,264,99.4,41.9,12.8,1.8,74
Player Note Jakob Poeltl TOR - C,374,577,0.648,86.9,0.1,0.2,0.322,835,644,125,52.2,91.2,1,207
