C. Paul GSW - PG 5:00 pm @OKC,199,474,0.421,88.4,60.9,181,0.336,548,211,422,82.4,5.4,4.9,97.5
D. Green GSW - PF,C 5:00 pm @OKC,228,456,0.501,110,59.5,146,0.407,627,449,414,51.2,58.9,2.2,203
B. Simmons BKN - PG,SG,PF INJ 4:30 pm vs WAS,178,329,0.541,30.3,0,3,0,386,439,358,63,37.1,2.7,164
C. White CHI - PG,SG 5:30 pm @SAS,279,646,0.432,79.5,140,356,0.394,778,191,231,51.9,10.5,2.7,137
K. Huerter SAC - SG,SF 6:00 pm @PHX,304,664,0.457,50.3,151,391,0.386,809,250,173,48.5,20.9,2.8,144
A. Caruso CHI - PG,SG GTD 5:30 pm @SAS,190,377,0.504,79.7,88.5,197,0.447,548,209,160,88.5,43.8,2.1,142
A. Horford BOS - PF,C 4:30 pm vs NYK,149,320,0.465,18.3,72.5,199,0.363,389,331,149,28.7,55.7,3,94.6
D. Robinson MIA - SG,SF GTD 5:00 pm vs CLE,281,611,0.46,55.7,179,434,0.413,797,158,142,25.7,9.3,2.8,149
J. Johnson ATL - SF,PF INJ 4:00 pm @PHI,274,490,0.561,78.1,51.6,141,0.365,679,373,126,59.9,55.6,1.5,136
J. Jaquez Jr. MIA - SF 5:00 pm vs CLE,201,403,0.499,59.9,48.2,132,0.363,510,201,110,49.1,10.5,1.6,100
C. Wallace OKC - SG 5:00 pm vs GSW,158,311,0.509,45.4,52,117,0.442,414,135,108,44.8,21.5,2.5,93.7
B. Coulibaly WAS - SF 4:30 pm @BKN,183,387,0.474,62.1,57,156,0.363,486,233,85.8,70.8,41.3,1,107
M. Turner IND - C,389,757,0.514,192,89.8,273,0.328,1061,489,79.6,40.6,140,1,197
M. Wagner ORL - C 4:00 pm vs DET,230,395,0.582,110,44,126,0.348,615,222,68.4,22.6,18.7,1,119
J. Vanderbilt LAL - PF,110,206,0.532,47.9,0.1,20.6,0.006,268,374,61.2,52.9,25.1,1.5,101
A. Drummond CHI - C 5:30 pm @SAS,147,281,0.526,68.8,0.1,2,0.026,364,415,52.9,56.8,26.6,0.8,109
M. Robinson NYK - C 4:30 pm @BOS,186,288,0.647,57.1,0.1,0.3,0.265,430,591,35.7,77.6,96,0.6,136
B. Clarke MEM - PF,C INJ 5:00 pm vs MIN,100,160,0.623,27.1,6.7,6.7,0.994,234,121,26.8,13.6,19.5,2,39.8
"Player Note J. Green HOU - PG,SG 6:00 pm @DEN",422,1001,0.422,264,148,428,0.346,1257,259,221,38.6,21.5,1.3,98.7
Player Note R. Westbrook LAC - PG 7:00 pm @UTA,302,678,0.446,118,48.7,171,0.284,772,433,338,66.4,23.2,2.1,156
"No new player Notes D. Wright WAS - PG,SG INJ 4:30 pm @BKN",85.9,203,0.422,60,31.1,83.9,0.371,262,155,173,77,12,5.6,40.7
"Player Note K. Anderson MIN - SF,PF 5:00 pm @MEM",189,391,0.485,100,17.5,62.5,0.28,497,259,242,57.2,62.2,2.6,115
"No new player Notes H. Barnes SAC - SF,PF 6:00 pm @PHX",234,496,0.473,165,94,252,0.372,729,210,84.3,40.7,9.9,1.7,65.1
"Player Note T. Hardaway Jr. DAL - SG,SF 7:00 pm @POR",303,744,0.407,111,181,485,0.374,899,195,98.6,21.9,3.6,2.2,73.6
"Player Note I. Quickley NYK - PG,SG 4:30 pm @BOS",288,669,0.432,159,117,320,0.365,854,197,180,36.1,3.3,2.4,116
"Player Note K. George UTA - PG,SG 7:00 pm vs LAC",233,636,0.367,141,104,332,0.314,712,252,364,47.7,23.9,2.7,104
"Player Note N. Reid MIN - PF,C 5:00 pm @MEM",307,598,0.513,98.4,91.5,252,0.363,804,288,61.4,40.3,45.1,0.8,128
"Player Note C. Kispert WAS - SG,SF 4:30 pm @BKN",234,501,0.468,88.5,130,321,0.405,687,170,86.1,30.7,8.4,1.7,94.4
"Player Note G. Trent Jr. TOR - PG,SG 4:00 pm @CHA",249,607,0.411,80.5,121,323,0.376,701,110,78.9,52.7,7.9,2,73.5
"No new player Notes M. Thybulle POR - SG,SF 7:00 pm vs DAL",126,276,0.457,19.1,84.7,224,0.376,356,96.1,60.5,76,44.2,1.6,77.8
"Player Note D. DiVincenzo NYK - SG,SF 4:30 pm @BOS",152,364,0.419,51.9,103,254,0.408,461,166,103,50,12,1.6,75.4
"New Player Note C. LeVert CLE - SG,SF INJ 5:00 pm @MIA",241,577,0.418,107,79.6,238,0.334,669,175,186,43.5,17.9,2.5,95.9
"Player Note J. Sochan SAS - PG,PF 5:30 pm vs CHI",283,635,0.445,108,49.6,142,0.349,724,322,235,51.7,21.4,1.8,178
"Player Note N. Batum PHI - SF,PF 4:00 pm vs ATL",110,220,0.501,21.7,72.5,164,0.44,315,188,82.6,34,32.2,3,80.6
"Player Note C. Martin MIA - SG,SF 5:00 pm vs CLE",217,473,0.458,62.7,66.9,189,0.353,564,224,89.2,52.5,17.4,1.7,96.7
"Player Note P. Connaughton MIL - SG,SF INJ",154,352,0.439,31.7,92.8,246,0.377,434,216,95.8,38.5,11,2.5,67.5
"Player Note C. Sexton UTA - PG,SG 7:00 pm vs LAC",245,537,0.457,188,59.5,171,0.346,738,136,186,29.4,7.6,1.7,104
"Player Note D. Hunter ATL - SF,PF 4:00 pm @PHI",316,699,0.453,175,98.9,277,0.357,907,256,83.3,49.6,22.3,0.9,188
"Player Note R. Covington PHI - SF,PF 4:00 pm vs ATL",95.1,214,0.442,39.8,50,134,0.371,279,173,54.8,61.7,35.5,2.3,73.8
"Player Note J. Ivey DET - PG,SG 4:00 pm @ORL",265,575,0.461,135,73.1,210,0.347,738,177,199,45.3,21.2,1.8,165
"Player Note S. Aldama MEM - PF,C 5:00 pm vs MIN",228,501,0.455,66.2,79.9,237,0.336,602,286,88.3,33.5,32.7,1.8,99.7
"Player Note D. Saric GSW - PF,C 5:00 pm @OKC",175,379,0.463,76.7,76.4,196,0.389,503,275,109,31.6,13.6,2,111
No new player Notes M. Morris DET - PG INJ 4:00 pm @ORL,142,296,0.482,38.3,41.4,101,0.408,365,75.1,123,28.3,7.1,4.5,41.2
New Player Note J. Alvarado NOP - PG,119,266,0.451,25.7,43.2,115,0.373,308,86.9,117,58.1,7.8,3.1,59
"Player Note J. Green DAL - SG,SF INJ 7:00 pm @POR",179,388,0.463,47.3,68.2,187,0.364,474,175,118,54.7,11.2,2.2,115
"Player Note T. Eason HOU - SF,PF 6:00 pm @DEN",172,377,0.455,64.4,42.1,114,0.367,450,309,59.8,48,47.4,1,116
Player Note D. Jones Jr. DAL - SF 7:00 pm @POR,159,320,0.497,57.5,69.4,170,0.406,445,182,44.2,30,37.3,1,90
No new player Notes D. Gallinari WAS - SF 4:30 pm @BKN,177,390,0.453,108,65.4,184,0.354,527,215,88.6,18.9,9.4,3.1,67.7
New Player Note G. Williams DAL - PF O 7:00 pm @POR,195,447,0.437,68.5,118,293,0.402,577,230,97.4,22.3,34,1.9,158
"Player Note L. Kennard MEM - PG,SG INJ 5:00 pm vs MIN",133,331,0.404,38.4,93.6,235,0.398,399,130,85.3,24.5,4.4,2.7,42.6
New Player Note T. McConnell IND - PG,136,255,0.534,26.8,4.3,19.1,0.223,304,100,190,37.4,4.1,3.7,54
Player Note P. Williams CHI - PF 5:30 pm @SAS,158,359,0.44,75.9,48.6,138,0.352,441,216,59.8,48.8,42.2,0.9,88.9
"Player Note L. Dort OKC - SG,SF 5:00 pm vs GSW",227,554,0.41,125,102,282,0.364,683,246,87.7,52.3,32.9,1.2,167
New Player Note J. McLaughlin MIN - PG INJ 5:00 pm @MEM,78.4,196,0.4,33.9,27.7,83.5,0.332,218,79.1,179,45.5,16.8,6.4,56.2
"Player Note T. Horton-Tucker UTA - PG,SG,SF 7:00 pm vs LAC",219,547,0.4,90.1,65.8,208,0.316,594,178,247,45.1,22.6,2.1,119
"Player Note D. McDermott SAS - SF,PF 5:30 pm vs CHI",151,330,0.458,24.7,96.1,219,0.437,423,79.4,80.9,14.3,5.4,2.2,68.3
"Player Note R. Hachimura LAL - SF,PF",171,348,0.491,54.5,47.5,117,0.405,444,144,43,25.9,8.2,1.3,55.1
"Player Note A. Nesmith IND - SF,PF",210,421,0.498,63.9,90.9,235,0.387,574,183,55.4,50.7,27.2,1.3,184
"New Player Note K. Olynyk UTA - PF,C GTD 7:00 pm vs LAC",130,247,0.527,73.3,41,100,0.407,374,228,149,35.2,12.3,1.9,122
"Player Note J. Smith IND - PF,C INJ",151,247,0.61,60.3,37.4,78.6,0.476,399,238,29.5,12.9,20,0.7,83
"Player Note M. Bagley III DET - PF,C 4:00 pm @ORL",226,412,0.55,97.9,13.5,50.2,0.268,564,302,54.6,11.6,27.3,1,90
No new player Notes D. Eubanks PHX - C 6:00 pm vs SAC,168,284,0.593,79.7,5.8,9.7,0.597,422,285,81.3,17.1,47.1,1.2,117
"Player Note R. O'Neale BKN - SG,SF 4:30 pm vs WAS",102,256,0.4,13.3,78.5,200,0.392,297,210,117,35.8,25.6,3.1,107
"Player Note X. Tillman Sr. MEM - PF,C 5:00 pm vs MIN",136,283,0.482,33.2,15.7,56.7,0.276,322,206,74.2,52.2,24.7,1.8,76.1
"Player Note K. Bates-Diop PHX - SF,PF 6:00 pm vs SAC",122,259,0.471,66.4,30,89.2,0.336,340,156,48.1,29.9,24.4,2.1,44
"Player Note P. Pritchard BOS - PG,SG 4:30 pm vs NYK",140,354,0.398,28.6,79,226,0.349,389,158,152,22.3,1.5,4.3,57.7
"Player Note O. Agbaji UTA - PG,SG 7:00 pm vs LAC",166,373,0.446,50.4,76,200,0.38,459,161,68,40.1,26.5,1.4,114
"No new player Notes J. Crowder MIL - SF,PF INJ",93.1,208,0.447,28.6,57.4,137,0.416,272,140,55,32.7,11.6,2.9,63.2
"Player Note I. Joe OKC - PG,SG 5:00 pm vs GSW",95.7,220,0.434,28.1,75.4,175,0.43,294,78.8,34.8,20.4,6.5,2.1,40.3
"Player Note G. Harris ORL - SG,SF 4:00 pm vs DET",158,361,0.438,61.3,83.9,224,0.374,461,95.1,91.6,44,9.5,2.6,76.7
Player Note C. Braun DEN - SG 6:00 pm vs HOU,173,356,0.487,52.6,32.3,87.4,0.369,431,196,86.2,32.2,18,1.8,100
"New Player Note A. Nembhard IND - PG,SG GTD",147,330,0.447,39.8,42.2,137,0.306,377,102,182,41.8,12.7,3.2,89.6
