A. Caruso CHI - PG,SG GTD,6.7,12.8,0.528,2.7,3.4,7,0.476,19.5,6.9,5.7,3.4,1.1,2.367,4.6
A. Drummond CHI - C,4,7.1,0.56,1.9,0,0.1,0,9.9,10.8,1.5,1.6,0.6,0.884,2.7
D. Green GSW - PF,C,7.1,14.5,0.487,3.6,1.8,4.7,0.391,19.6,14.6,13.1,1.8,2.1,1.898,6.4
C. Paul GSW - PG INJ,6.6,16,0.409,3.3,2,6.1,0.318,18.4,7.2,14.2,3,0.2,4.265,3.2
N. Batum PHI - SF,PF GTD,4.9,9.5,0.52,0.6,3.2,7,0.45,13.6,8.1,3.5,1.5,1.5,2.755,3.2
C. Wallace OKC - SG,5.1,10.4,0.492,1.8,1.6,4,0.413,13.7,4.6,3.5,1.4,0.6,2.499,3
J. Jaquez Jr. MIA - SF,7,14.2,0.49,1.9,1.7,4.6,0.373,17.6,7.5,3.9,1.7,0.4,1.517,3.4
K. Olynyk UTA - PF,C GTD,4.2,7.9,0.53,2.3,1.3,3.2,0.399,11.9,7.5,4.8,1.1,0.4,1.922,4.2
B. Coulibaly WAS - SF,5.9,12.9,0.459,2.1,2,5.3,0.369,15.9,7.8,2.8,2.2,1.5,1.106,3.5
D. Daniels NOP - PG,SG,1.2,3,0.398,0.4,0.3,1.3,0.26,3.2,2.3,1.4,0.6,0.1,2.007,1.1
M. Turner IND - C,6.1,12.6,0.486,3,1.3,4.1,0.315,16.6,10.9,1.4,0.7,2.1,0.799,3.2
A. Horford BOS - PF,C,4.1,7.9,0.523,1.2,1.3,3.5,0.361,10.7,9,3.1,0.7,1.3,2.374,2.2
K. Huerter SAC - SG,SF,4.1,9.2,0.447,0.8,2,5.5,0.37,11.1,4.5,2.8,0.7,0.3,2.96,2.1
M. Robinson NYK - C,3.3,5.7,0.579,0.9,0.1,0.3,0.345,7.6,11.9,0.9,1.5,1.4,0.821,2.6
J. Vanderbilt LAL - PF,0.5,3,0.155,0.2,0.1,2.4,0.047,1.3,4.6,1.1,0.1,0.1,8.803,1.6
"Player Note M. Bagley III DET - PF,C",7.2,13,0.555,3.4,0.4,1.3,0.288,18.2,8.7,1.5,0.3,0.9,0.899,2.7
Player Note T. Bryant MIA - C,1.7,3.4,0.517,0.8,0.2,0.6,0.257,4.4,3.1,0.5,0.2,0.4,0.85,1
"Player Note J. Champagnie SAS - SF,PF",6.9,18.7,0.368,1.9,4.7,12.7,0.37,20.4,8.3,3.1,1.4,1.8,1.016,3.7
No new player Notes T. Maledon CHA - PG,0.9,2.9,0.323,0.5,0.3,1.4,0.21,2.7,1.1,1.2,0.3,0,1.736,0.7
Player Note D. Theis LAC - C,7.7,16.2,0.478,1.4,0.7,2.6,0.281,17.6,9.5,2.8,0.9,2.1,1.835,6
"Player Note J. Walker POR - SF,PF",9.1,21.4,0.427,5.1,1.8,7.1,0.256,25.2,18,2.1,3.2,1.6,0.579,9.3
"New Player Note T. Craig CHI - SF,PF",6.6,14.6,0.451,1.5,2.7,7.7,0.344,17.3,12.4,3.3,1.6,1,1.699,5.9
Player Note C. Boucher TOR - PF,5.5,11.5,0.482,3.4,1.8,4.7,0.376,16.2,9.5,0.7,0.8,1.6,0.852,4
No new player Notes M. Flynn TOR - PG,4.6,10.9,0.42,1.3,2.4,6.5,0.36,12.8,4.4,4.5,1.2,0.5,2.518,3.3
"Player Note R. O'Neale BKN - SG,SF",6.9,16.5,0.416,0.8,5.2,12.9,0.406,19.7,14.2,8.3,2.3,1.6,3.089,6.8
Player Note M. Bamba PHI - C,1.5,2.8,0.527,0.4,0.4,1.1,0.417,3.8,2.5,0.3,0.1,0.6,0.661,0.7
"New Player Note C. Sexton UTA - PG,SG",12.6,27.9,0.454,9.5,3.1,9.1,0.341,37.9,7.3,9.5,1.4,0.4,1.596,5.7
