A. Caruso CHI - PG,SG GTD,6.7,12.8,0.528,2.7,3.4,7,0.476,19.5,6.9,5.7,3.4,1.1,2.367,4.6
A. Drummond CHI - C,4,7.1,0.56,1.9,0,0.1,0,9.9,10.8,1.5,1.6,0.6,0.884,2.7
D. Green GSW - PF,C,7.1,14.5,0.487,3.6,1.8,4.7,0.391,19.6,14.6,13.1,1.8,2.1,1.898,6.4
C. Paul GSW - PG INJ,6.6,16,0.409,3.3,2,6.1,0.318,18.4,7.2,14.2,3,0.2,4.265,3.2
N. Batum PHI - SF,PF GTD,4.9,9.5,0.52,0.6,3.2,7,0.45,13.6,8.1,3.5,1.5,1.5,2.755,3.2
C. Wallace OKC - SG,5.1,10.4,0.492,1.8,1.6,4,0.413,13.7,4.6,3.5,1.4,0.6,2.499,3
J. Jaquez Jr. MIA - SF,7,14.2,0.49,1.9,1.7,4.6,0.373,17.6,7.5,3.9,1.7,0.4,1.517,3.4
B. Coulibaly WAS - SF,5.9,12.9,0.459,2.1,2,5.3,0.369,15.9,7.8,2.8,2.2,1.5,1.106,3.5
M. Turner IND - C,6.1,12.6,0.486,3,1.3,4.1,0.315,16.6,10.9,1.4,0.7,2.1,0.799,3.2
K. Huerter SAC - SG,SF,4.1,9.2,0.447,0.8,2,5.5,0.37,11.1,4.5,2.8,0.7,0.3,2.96,2.1
M. Robinson NYK - C,3.3,5.7,0.579,0.9,0.1,0.3,0.345,7.6,11.9,0.9,1.5,1.4,0.821,2.6
Player Note M. Wagner ORL - C,8.7,15.5,0.561,4.8,1.7,4.7,0.355,23.9,8.6,2.6,0.9,0.8,1.077,4.5
"New Player Note C. White CHI - PG,SG",18.1,40.3,0.448,4.6,9.4,22.9,0.41,50.2,11.4,14.7,3.4,0.5,2.93,8.2
"Player Note D. Robinson MIA - SG,SF",13.3,28.5,0.466,2.7,8.9,20.7,0.431,38.1,7.3,6.3,1.1,0.4,2.541,6.9
"Player Note N. Alexander-Walker MIN - SG,SF",10.1,23.3,0.435,1.6,5.8,15.6,0.371,27.6,8.6,10,3.4,2.3,2.41,6
